about_project,address,benefits,city,contract_type,development_opportunities,employer,expected_requirements,expected_technologies,expiration_date,job_title,max_salary,min_salary,optional_requirements,optional_technologies,position_level,price_unit,responsibilities,scraping_datetime,source,specialization,url,what_they_offer,work_mode,work_schedule
Projekt dla klienta z branży bankowej.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Minimum 5 letnie doświadczenie', 'Bardzo dobra znajomość Java 11/17', 'Doświadczenie z frameworkami: Spring(Boot, Data, Cloud) oraz JPA, SQL (Oracle)', 'Znajomość mikroserwisów oraz narzędzi CI/CD', 'Doświadczenie w pracy z Jira, Confluence, Bitbucket', 'Znajomość Rest, Soap', 'Doświadczenie w pracy z rozproszonym VCS (Git)', 'Doświadczenie z Kubernetesem', 'Znajomość systemu kolejkowego Kafka', 'Znajomość języka angielskiego na poziomie min. B2']","['Java', 'Spring Boot', 'Spring Data', 'Spring Cloud', 'JPA', 'SQL', 'Oracle', 'Git', 'Kubernetes', 'Kafka']",30-12-2023,Senior Java Developer,27700,23000,[],[],starszy specjalista (Senior),gross / mth.,"['Współpraca z Zespołem Projektowym – omawianie i wybieranie technologii oraz architektury', 'Dawanie rekomendacji dotyczących technologii oprogramowania', 'Realny wpływ na budowę oraz rozwój nowych funkcjonalności', 'Stosowanie prawidłowych standardów i dobrych praktyk kodowania – wdrażanie ich w codzienną pracę ułatwi ‘życie’ w Zespole oraz funkcjonalność produktu!']",27/12/2023 18:10:27,pracuj.pl,Backend,"https://www.pracuj.pl/praca/senior-java-developer-warszawa-encyklopedyczna-2a,oferta,1003012058","['Możliwości rozwoju w kierunku, którym się interesujesz', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy', 'Budżet na rozwój', 'Premia roczna', 'Prywatna opieka medyczna', 'Pakiet Multisport', 'Lekcje języka angielskiego']",praca zdalna,pełny etat
Projektowanie i wdrażanie zautomatyzowanego systemu do obsługi wniosków kredytowych.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Minimum 4 lata doświadczenia jako Java/Fullstack Developer', 'Bardzo dobra znajomość Java 11, JSF Pimefaces', 'Znajomość frameworka Spring (SpringBoot, JPA, Cloud), Quartz', 'Doświadczenie w pracy z bazą danych ORACLE (SQL), Flyway', 'Znajomość architektury/ środowiska mikroserwisów', 'Znajomość protokołów HTTP REST, SOAP', 'Doświadczenie z repozytorium kodu: Bitbucket, GIT', 'Znajomość środowiska CI/CD / Jenkins', 'Biegłość pracy z Apache Kafka', 'Wiedza o narzędziach, metodykach projektowych: JIRA, Confluence', 'Dobra znajomość j. angielskiego (minimum B2)']","['Java', 'Spring Framework', 'Quartz', 'SQL', 'Flyway', 'Jenkins', 'Kafka']",30-12-2023,"Senior Fullstack Developer (Java, Angular)",26800,22000,"['Doświadczenie z Angularem', 'Znajomość Camunda BPMN Modeler (inny silnik procesowy BPMN)']","['Angular', 'BPMN']",starszy specjalista (Senior),gross / mth.,"['Współpraca z Zespołem Projektowym – omawianie i wybieranie technologii oraz architektury.', 'Dawanie rekomendacji dotyczących technologii oprogramowania', 'Realny wpływ na budowę oraz rozwój nowych funkcjonalności', 'Projektowanie oraz wdrażanie komponentów oprogramowania', 'Stosowanie prawidłowych standardów i dobrych praktyk kodowania – wdrażanie ich w codzienną pracę ułatwi ‘życie’ w Zespole oraz funkcjonalność produktu!']",27/12/2023 18:10:27,pracuj.pl,Full-stack,"https://www.pracuj.pl/praca/senior-fullstack-developer-java-angular-warszawa-encyklopedyczna-2a,oferta,1003012057","['Możliwości rozwoju w kierunku, którym się interesujesz', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy', 'Budżet na rozwój', 'Premia roczna', 'Prywatna opieka medyczna', 'Pakiet Multisport', 'Lekcje języka angielskiego']",praca zdalna,pełny etat
Projekt związany z analizą biznesową i tworzeniem metadanych.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Umiejętności analityczne i prezentacyjne', 'Znajomość systemów autoryzacji', 'Doświadczenie w zarządzaniu dostępem', 'Praktyczna wiedza z Salesforce', 'Doświadczenie w tworzeniu metadanych', 'Znajomość języka angielskiego na poziomie min. B2']",['Salesforce'],30-12-2023,Analityk - Architekt,23500,20000,['Doświadczenie z systemem Empolis'],['Empolis'],"specjalista (Mid / Regular), starszy specjalista (Senior)",gross / mth.,"['Analiza biznesowa', 'Prowadzenie rozmów z interesariuszami biznesowymi']",27/12/2023 18:10:28,pracuj.pl,"Architecture, Business analytics","https://www.pracuj.pl/praca/analityk-architekt-warszawa-encyklopedyczna-2a,oferta,1003012056","['Możliwości rozwoju w kierunku, którym się interesujesz', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy', 'Budżet na rozwój', 'Premia roczna', 'Prywatna opieka medyczna', 'Pakiet Multisport', 'Lekcje języka angielskiego']",praca zdalna,pełny etat
"Projekty z zakresu AUTOSAR dotyczycące m.in. ADAS, LiDAR, AdCAM czy e-call.",None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Ekspercka wiedza języka programowania C', 'Ekspercka znajomość AUTOSAR Classic na różnych warstwach: MCAL, Services Layer, ECU, CDD, RTE', 'Ekspercka znajomość CAN/LIN/Ethernet/FlexRay', 'Znajomość UDS, DoIP', 'Wiedza z zakresu ASPICE, V-Model', 'Znajomość narzędzi AUTOSAR, takie jak: EB Tresos, DaVinci Configurator, DaVinci Developer', 'Doświadczenie w konfiguracji i integracji różnych stosów AUTOSAR - Vector, EB', 'Doświadczenie w komercyjnych projektach z branż motoryzacyjnych', 'Doświadczenie w pracy z RH850, NXP, MPC55xx, Greenhills, WindRiver', 'Bardzo dobra znajomość języka angielskiego (B2/C1)']","['C', 'AUTOSAR']",30-12-2023,Senior AUTOSAR Engineer,None,None,[],[],starszy specjalista (Senior),None,"['Udział w projektach najnowocześniejszych technologii związanych z rynkiem motoryzacyjnym', 'Identyfikacja i analiza wymagań rozwiązania', 'Projektowanie i tworzenie oprogramowania w obszarze automotive z wykorzystaniem języka C/C++', 'Ścisła współpraca z PM i analitykami', 'Zapewnienie najlepszej jakości kodu']",27/12/2023 18:10:29,pracuj.pl,Embedded,"https://www.pracuj.pl/praca/senior-autosar-engineer-warszawa-encyklopedyczna-2a,oferta,1003012055","['Możliwość rozwoju w kierunku, którym się interesujesz', 'Budżet na rozwój', 'Premia roczna', 'Prywatna opieka medyczna', 'Pakiet Multisport', 'Lekcje języka angielskiego']",praca zdalna,pełny etat
Projekt dla międzynarodowej firmy zajmującej się inżynierią produktową i rozwojem oprogramowania - projektowanie i budowanie oprogramowania dla elektronicznych jednostek sterujących samochody.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['5+ lat doświadczenia w tworzeniu oprogramowania wbudowanego', 'Dobra znajomość C/C++', 'Doświadczenie w opracowywaniu i ocenie koncepcji bezpieczeństwa', 'Znajomość najlepszych praktyk bezpieczeństwa w systemach wbudowanych', 'Doświadczenie z wbudowanym bezpieczeństwem QNX (CVE)', 'Doświadczenie z platformą QNX', 'Znajomość QNX OS i programowania QNX', 'Znajomość modelowania zagrożeń', 'Doświadczenie w pracy z narzędziami: GIT, Continuous Integration', 'Doświadczenie w pracy z różnymi wbudowanymi mikroprocesorami na Qualcomm, TI, NXP lub podobnymi', 'Znajomość języka angielskiego na poziomie minimum B2']","['C', 'C++', 'QNX', 'Git', 'Qualcomm', 'TI', 'NXP']",30-12-2023,QNX Security Engineer,26000,24000,[],[],starszy specjalista (Senior),gross / mth.,"['Koncentrowanie się na koncepcjach bezpieczeństwa produktu', 'Rozpoznawanie zagrożeń i luk w zabezpieczeniach, wdrażanie zabezpieczeń', 'Opracowywanie funkcji i narzędzi bezpieczeństwa', 'Wsparcie procesu tworzenia architektury i rozwoju produktu', 'Wsparcie zespołu programistycznego w zakresie bezpieczeństwa']",27/12/2023 18:10:29,pracuj.pl,"Embedded, Security","https://www.pracuj.pl/praca/qnx-security-engineer-warszawa-encyklopedyczna-2a,oferta,1003012050","['Możliwość rozwoju w kierunku, którym się interesujesz', 'Budżet na rozwój', 'Premia roczna', 'Prywatna opieka medyczna', 'Pakiet Multisport', 'Lekcje języka angielskiego']",praca zdalna,pełny etat
Tworzenie podstaw nowego oprogramowania aplikacji mobilnej.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Bardzo dobra znajomość PHP', 'Stawianie na pisanie wysokiej jakości kodu', 'Wiedza z zakresu procesu wytwarzania oprogramowania', 'Znajomość języka angielskiego na poziomie minimum B2']","['PHP', 'Symfony', 'PostgreSQL', 'MongoDB', 'Docker']",30-12-2023,PHP Developer,18000,12000,[],"['TypeScript', 'Node.js']",specjalista (Mid / Regular),gross / mth.,"['Stworzenie podstaw nowego oprogramowania', 'Implementacja logiki', 'Integracja narzędzi innych firm', 'Tworzenie konteneryzacji za pomocą Dockera', 'Tworzenie testów jednostkowych i integracyjnych', 'Rozszerzanie CI/CD o zadania związane z backendem']",27/12/2023 18:10:30,pracuj.pl,Backend,"https://www.pracuj.pl/praca/php-developer-warszawa-encyklopedyczna-2a,oferta,1003012051","['Możliwość rozwoju w kierunku, którym się interesujesz,', 'Budżet na rozwój,', 'Premia roczna,', 'Prywatna opieka medyczna,', 'Pakiet Multisport,', 'Lekcje języka angielskiego.']",praca zdalna,pełny etat
Projekt dla Klienta z branży motoryzacyjnej skoncentrowany na pracy z danymi Sprinklr.,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'brak dress code’u', 'kawa / herbata']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Kilkuletnie doświadczenie w zakresie danych Sprinklr', 'Kompetencje techniczne z obszaru ETL (posiadanie ekspertyzy w narzędziach ETL, architekturze danych, DevOps)', 'Doświadczenie w konfiguracji Data Lake/ Data Warehouse', 'Znajomość zasad przepływu pracy w Databricks', 'Kompetencje z zakresu SQL, Python, Spark, Github', 'Znajomość chmury - AWS', 'Znajomość języka angielskiego na poziomie minimum B2']","['Sprinklr', 'ETL', 'DWH', 'Data Lake', 'Databricks', 'AWS', 'Github', 'SQL', 'Python', 'Spark']",30-12-2023,Data Engineer (Sprinklr),22000,14000,[],[],"specjalista (Mid / Regular), starszy specjalista (Senior)",gross / mth.,"['Zapewnianie integracji danych z głównymi platformami', 'Przekształcanie danych w warstwy tabel w ramach AWS (DataBricks) oraz wizualizacja tych danych poza systemem Sprinklr', 'Praca z PowerBI i danymi Sprinklr', 'Przesyłanie danych do docelowego magazynu za pomocą ETL']",27/12/2023 18:10:30,pracuj.pl,Big Data / Data Science,"https://www.pracuj.pl/praca/data-engineer-sprinklr-warszawa-encyklopedyczna-2a,oferta,1003012053","['Możliwości rozwoju w kierunku, którym się interesujesz.', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy.', 'Budżet na rozwój.', 'Premia roczna.', 'Prywatna opieka medyczna.', 'Pakiet multisport.', 'Lekcje języka angielskiego.']",praca zdalna,pełny etat
"Dołączając do międzynarodowego Zespołu DBA będziesz monitorował i administrował kilka tysięcy baz danych oraz serwery SQL, aby zapewnić minimalny czas przestoju usług.",None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'możliwość pracy zdalnej', 'spotkania integracyjne', 'brak dress code’u', 'kawa / herbata']","Warszawa, mazowieckie",B2B,"['budżet rozwojowy', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'szkolenia zewnętrzne', 'wspieramy wydarzenia dla IT', 'wymiana wiedzy technicznej w firmie']",JellyTech,"['Kilkuletnie doświadczenie na podobnym stanowisku', 'Znajomość języka Microsoft tSQL', 'Komptencje w zakresie PowerBI oraz skryptów PowerShell', 'Prokatywność - przejmowanie odpowiedzialności za swoje zadania', 'Wychodzenie z inicjatywą oraz chęc pomocy innym', 'Znajomość języka angielskiego na poziomie minimum B2']","['SQL', 'Transact SQL', 'Power BI', 'SSRS', 'PowerShell', 'T-SQL']",30-12-2023,SQL Database Administrator (DBA),22000,12000,['Znajmość narzędzi monitorujących SCOM & RedGate Azure'],"['SCOM', 'RedGate Azure']",starszy specjalista (Senior),gross / mth.,"['Administrowanie i monitorowanie baz danych oraz serwerów SQL', 'Analizowanie problemów związanych z wydajnością i ich regulacja; dostarczanie rekomendacji, aby systemy/procesy działały efektywniej', 'Tworzenie nowych oraz utrzymanie aktualnych raportów PowerBI i SSRS', 'Wdrażanie środków bezpieczeństwa w calu najlepszej ochrony infrastruktury SQL', 'Współpraca z Zespołem developerskim - wspracie w zakresie optymalnych projektów i administracji bazami danych', 'Wdrażanie i dokumentowanie architektur baz danych', 'Automatyzacja procesów za pomocą PowerShell i T-SQL', 'Wspracie podczas miesięcznych konserwacji/kontroli serwera SQL']",27/12/2023 18:10:31,pracuj.pl,Big Data / Data Science,"https://www.pracuj.pl/praca/sql-database-administrator-dba-warszawa-encyklopedyczna-2a,oferta,1003012054","['Możliwości rozwoju w kierunku, którym się interesujesz.', 'Pracę zdalną, hybrydową, bądź z warszawskiego biura – to Ty decydujesz!', 'Płatny urlop niezależnie od formy współpracy.', 'Budżet na rozwój.', 'Premia roczna.', 'Prywatna opieka medyczna.', 'Pakiet multisport.', 'Lekcje języka angielskiego.']",praca zdalna,pełny etat
None,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'ubezpieczenie na życie', 'możliwość pracy zdalnej', 'elastyczny czas pracy', 'owoce', 'spotkania integracyjne', 'firmowa biblioteka', 'brak dress code’u', 'kawa / herbata', 'napoje', 'paczki świąteczne', 'program rekomendacji pracowników']","Warszawa, mazowieckie","employment, B2B",[],DahliaMatic,"['Min. 2 lata doświadczenia zawodowego we wdrożeniach po stronie dostawcy systemu SAP, SAP S/4HANA, w działaniach wdrażania systemu od strony klienta, współpraca z dostawcami systemu i koordynacja działań wdrożeniowych i utrzymaniowych – warunek konieczny', 'Doświadczenie w SAP, SAP S/4HANA z obszaru: FI / CO – warunek konieczny', 'Doświadczenie w działaniach utrzymania systemu', 'Doskonale rozwinięte umiejętności analityczne oraz umiejętność samodzielnego rozwiązywania problemów', 'Umiejętność samodzielnej konfiguracji systemu', 'Znajomość danego modułu pozwalająca na biegłe poruszanie się po strukturach danych, umiejętność debagowania będzie dużym atutem', 'Umiejętność samodzielnej pracy i zorientowanie na cel', 'Znajomość j. angielskiego na poziomie min. B2', 'Bardzo dobre umiejętności interpersonalne, łatwość nawiązywania kontaktu z ludźmi i utrzymywania relacji']","['SAP', 'SAP HANA', 'S/4HANA']",30-12-2023,"Konsultant SAP, SAP S/4HANA (obszar finanse FI/CO)",15000,8000,[],[],specjalista (Mid / Regular),gross / mth.,"['Działania związane z wdrażaniem i utrzymaniem w organizacjach kompleksowych rozwiązań z zakresu SAP, SAP S/4HANA, obszar finanse (FI/CO)', 'Analiza, tworzenie, koncepcje zmian i rozwoju procesów biznesowych w organizacjach Klienta', 'Konfiguracja, przeprowadzanie testów i szkoleń, prezentacji rozwiązań SAP', 'Opracowanie dokumentacji projektowych', 'Wspieranie Klientów po procesie wdrożenia systemu SAP S/4HANA']",27/12/2023 18:10:31,pracuj.pl,SAP&ERP,"https://www.pracuj.pl/praca/konsultant-sap-sap-s-4hana-obszar-finanse-fi-co-warszawa-daimlera-2,oferta,1003012052","['Program onboardingowy. Realizujemy wprowadzenie krok po kroku, podczas którego wzajemnie się poznamy.', 'Twój Buddy. Dedykowany Opiekun będzie Cię wspierał w pierwszych miesiącach pracy; rozwieje wszelkie wątpliwości oraz wprowadzi w nasz świat.', 'Przestrzeń i niezależność. Cały czas budujemy nasz zespół, dlatego możesz liczyć na dużą swobodę w działaniu i naszą otwartość na nowe pomysły.', 'Stabilność. Nie jesteśmy świeżakami. Od ponad 20 lat budujemy nasz zespół i kompetencje na rynku. Spotkasz u nas osoby, które działają z nami od samego początku i planują działać jeszcze przez długie lata.', 'Realny wpływ na budowanie wizerunku marki. Cały czas się zmieniamy i szukamy nowych ścieżek rozwoju.', 'Firmowy must have: karta Multisport, opieka zdrowotna LuxMed, ubezpieczenie na życie PZU.', 'Eventy integracyjne: zagraniczne wyjazdy, regularne imprezy, wydarzenia sportowe i wiele, wiele innych (in events we trust).']",praca zdalna,pełny etat
None,None,"['private medical care', 'life insurance', 'fruits', 'retirement pension plan', 'coffee / tea', 'holiday funds', 'employee referral program', 'Multisport Card']","Gdańsk, Pomeranian",employment,[],Wipro IT Services,"['0-2 years’ experience in a IT Support or Customer service in a global organization', 'Fluency in Finnish & English language', 'Should have knowledge of customer services and managing phone calls/Chats with customers with min B2 and above language competency', 'Should have good logical reasoning skills, Customer Service skills', 'Should be a team player & work collaboratively with onsite and offshore team']",[],29-12-2023,Service Desk Administrator with Finnish,None,None,[],[],specialist (Mid / Regular),None,"['To provide 1st line technical support, answering support queries via phone, email, Chat and Web in Finnish and English', 'Identifying the issue and categorizing / prioritize the incident', 'Creating a ticket in ITSM tool', 'Recording trend of calls and identifying outages proactively', 'Callbacks for customer not reachable cases & customer request', 'Identifying the trend of calls / tickets and highlighting it to L2 / TL as applicable for outage confirmation']",27/12/2023 18:10:32,pracuj.pl,Helpdesk,"https://www.pracuj.pl/praca/service-desk-administrator-with-finnish-gdansk-aleja-grunwaldzka-411,oferta,1003009459","['Strong flexible benefits package that you can tailor to your own needs and choose Multisport card, shop vouchers and many others – MyBenefit cafeteria', 'Premium insurance for medical services for employee and familiar member - Luxmed', 'Life & Disability Insurance for employees and family members- Generali', 'Profitable Voluntary Pension Fund', 'Social Funds benefits: holiday bonuses, allowance for kindergartens, etc.', 'Integration and cultural events for employees', 'Reward and recognition program for high performers', 'Employee Referral bonuses', 'Relocation assistance - Accommodation, travel and other expenses covered', 'Friendly and chill atmosphere and company culture']",home office work,full-time
We are looking for a Senior Java Developer to join our Team as a member of the remote development team of a new information system for a logistics company using the Java EE technologies stack. Your main task will be the development of a web - based application to support shipping company businesses all over the world.,None,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'remote work opportunities', 'flexible working time', 'fruits', 'integration events', 'dental care', 'retirement pension plan', 'no dress code', 'coffee / tea', 'parking space for employees', 'leisure zone', 'christmas gifts', 'employee referral program', 'welcome pack']","Wrocław, Lower Silesia","employment, B2B","['conferences in Poland', 'industry-specific e-learning platforms', 'intracompany training', 'mentoring', 'soft skills training', 'substantive support from technological leaders', 'technical knowledge exchange within the company']",IBA POLAND sp. z o.o.,"['Minimum 5 years of professional experience in Java EE.', 'Spoken English - intermediate or higher.']","['Java', 'Java EE']",23-01-2024,Senior Java EE Developer,None,None,"['Experience using Java 8 (Lambda, Stream, Optional, etc.).', 'Experience in J2EE or Spring.', 'Experience in JPA using Hibernate or other ORM frameworks.', 'Knowledge of IoC (Inversion of control programming principle).', 'Familiarity with JPA (QueryDSL).', 'Knowledge of Domain Driven Design.', 'Knowledge of JUnit, AssertJ, Mockito, and DbUnit.', 'Knowledge of BDD/Gherkin (Given-When-Then).', 'Knowledge of CI/CD (GitLab, Jenkins).']","['Spring Framework', 'JUnit', 'AssertJ', 'Mockito', 'DbUnit', 'GitLab', 'Jenkins']",senior specialist (Senior),None,"['Building application architecture by using Clean Architecture and Domain Driven Design approach.', 'Following Clean Code principles.', 'Performing data access by using the JPA.', 'Being involved in the QA process: CodeReview, Static Code Analysis, and all layers test coverage (unit, service, and e2e).', 'Using BDD/Gherkin pattern tests (Given-When-Then) and JUnit, AssertJ, Mockito, and DbUnit frameworks.', 'Working with CI/CD process based on GitLab and Jenkins.', 'Mostly working on backend development.', 'Participating in team meetings.', 'Short-term business trips to Germany.']",27/12/2023 18:10:33,pracuj.pl,Backend,"https://www.pracuj.pl/praca/senior-java-ee-developer-wroclaw-slubicka-18,oferta,1003050305","['Permanent Employment or B2B.', 'Competitive Salary.', 'Work tools.', 'Working from home or our office in Wroclaw - possible remote, office, or hybrid work.', 'By working with us today, you gain experience in the implementation of projects in a wide variety in diverse industries with international teams.', 'Selection of benefits such as private medical care provided by Medicover, Multisport card, cafeteria system, language courses, integration events, and many more as we grow.']","full office work, home office work, hybrid work",full-time
We are looking for a Java Developer to join our Team as a member of the remote development team of a new information system for a logistics company using the Java EE technologies stack. Your main task will be the development of a web - based application to support shipping company businesses all over the world.,None,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'remote work opportunities', 'flexible working time', 'fruits', 'integration events', 'dental care', 'retirement pension plan', 'no dress code', 'coffee / tea', 'parking space for employees', 'leisure zone', 'christmas gifts', 'employee referral program']","Wrocław, Lower Silesia","employment, B2B","['conferences in Poland', 'industry-specific e-learning platforms', 'intracompany training', 'mentoring', 'soft skills training', 'substantive support from technological leaders', 'technical knowledge exchange within the company']",IBA POLAND sp. z o.o.,"['Minimum 2 years of professional experience in Java EE.', 'Spoken English - intermediate or higher.']","['Java', 'Java EE']",23-01-2024,Java EE Developer,None,None,"['Experience using Java 8 (Lambda, Stream, Optional, etc.).', 'Experience in J2EE or Spring.', 'Experience in JPA using Hibernate or other ORM frameworks.', 'Knowledge of IoC (Inversion of control programming principle).', 'Familiarity with JPA (QueryDSL).', 'Knowledge of Domain Driven Design.', 'Knowledge of JUnit, AssertJ, Mockito, and DbUnit.', 'Knowledge of BDD/Gherkin (Given-When-Then).', 'Knowledge of CI/CD (GitLab, Jenkins).']","['Spring Framework', 'JUnit', 'AssertJ', 'Mockito', 'DbUnit', 'GitLab', 'Jenkins']",specialist (Mid / Regular),None,"['Building application architecture by using Clean Architecture and Domain Driven Design approach.', 'Following Clean Code principles.', 'Performing data access by using the JPA.', 'Being involved in the QA process: CodeReview, Static Code Analysis, and all layers test coverage (unit, service, and e2e).', 'Using BDD/Gherkin pattern tests (Given-When-Then) and JUnit, AssertJ, Mockito, and DbUnit frameworks.', 'Working with CI/CD process based on GitLab and Jenkins.', 'Mostly working on backend development.', 'Participating in team meetings.', 'Short-term business trips to Germany.']",27/12/2023 18:10:33,pracuj.pl,Backend,"https://www.pracuj.pl/praca/java-ee-developer-wroclaw-slubicka-18,oferta,1003050306","['Permanent Employment or B2B.', 'Competitive Salary.', 'Work tools.', 'Working from home or our office in Wroclaw - possible remote, office, or hybrid work.', 'By working with us today, you gain experience in the implementation of projects in a wide variety of diverse industries with international teams.', 'Selection of benefits such as private medical care provided by Medicover, Multisport card, cafeteria system, language courses, integration events, and many more as we grow.']","full office work, home office work, hybrid work",full-time
We are looking for a Senior React Developer to join our Team as a member of the remote development team. Your main tasks will be the development of a web - based applications and helping junior developers.,None,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'remote work opportunities', 'flexible working time', 'fruits', 'integration events', 'dental care', 'retirement pension plan', 'no dress code', 'coffee / tea', 'parking space for employees', 'leisure zone', 'christmas gifts', 'employee referral program']","Wrocław, Lower Silesia","employment, B2B","['conferences in Poland', 'industry-specific e-learning platforms', 'intracompany training', 'mentoring', 'soft skills training', 'substantive support from technological leaders', 'technical knowledge exchange within the company']",IBA POLAND sp. z o.o.,"['Minimum 5 years of the professional working experience as a React Developer.', 'Bachelor’s degree in computer science, information technology, or a similar field.', 'In-depth knowledge of JavaScript, TypeScript, CSS, HTML.', 'Knowledge of REACT tools including React.js, Webpack, Redux, and Flux.', 'Experience with user interface design.', 'Experience with browser-based debugging and performance testing software.', 'Excellent troubleshooting skills.', 'English B1.']","['React.js', 'JavaScript', 'TypeScript', 'CSS', 'HTML', 'webpack', 'Redux', 'Flux']",23-01-2024,Senior React Developer,None,None,[],[],senior specialist (Senior),None,"['Mentoring of junior developers and sharing knowledge with the rest of the team.', 'Participating in local and commercial projects of a company.', 'Working on frontend development.', 'Participating in designing FE architecture of projects.', 'Being involved in the QA process: CodeReview, Static Code Analysis.', 'Participating in team meetings.', 'Analysis and technology recommendation in projects.', 'Driving technology innovations to enable business innovations based on our platform.']",27/12/2023 18:10:34,pracuj.pl,Frontend,"https://www.pracuj.pl/praca/senior-react-developer-wroclaw-slubicka-18,oferta,1003050307","['Permanent Employment or B2B.', 'Competitive Salary.', 'Work tools.', 'Flexible working hours.', 'Working from home or our office in Wroclaw- possible remote, office, or hybrid work.', 'By working with us today, you gain experience in the implementation of projects of a wide variety in a diverse industry with international teams.', 'Selection of benefits such as private medical care provided by Medicover, Multisport card, cafeteria system, language courses, integration events and many more as we grow.']","full office work, home office work, hybrid work",full-time
